"Ulasan","Tanggal_Ulasan","Label","lokasi"
"Pantai nya cukup indah lihat review nya di channel yutub kami ""Positive Vibes Indonesia""","setahun lalu","Negatif","pantai lombang"
"Pantainya keren, trus view nya lumayan bagus, tp ombaknya ngerii, jdi jngn terlalu ke tengah😁 …","2 tahun lalu","Positif","pantai lombang"
"Tempat dengan potensi alam luar biasa, tapi itu sekitar  satu tahun yg lalu. 24 november 2019 kesini lagi, sudah mulai terganggu dengan bau limbah tambak buatan untuk udang. Air bekas tambak di buang ke lokasi wisata. Pemda SUMENEP ABAI DENGAN KONDISI INI. aset wisata terbesarnya DIRUSAK sendiri...PAYAH","3 tahun lalu","Negatif","pantai lombang"
"Pantai lombang sumenep yg indah..","4 tahun lalu","Positif","pantai lombang"
" hanya kurang pengelolaannya saja","setahun lalu","Negatif","pantai lombang"
"Momentnya cantik banget sore sore kesini","4 tahun lalu","Positif","pantai lombang"
" lumayan panas tapi tertolong karena banyak pohon2 cemara udang yg rindang.. Sayang fasilitas kamar mandi kotor dan kadang tidak ada air.","4 tahun lalu","Negatif","pantai lombang"
"Tempatnya bagus masih bersih juga pasirnya putih ada juga penyewaan kuda.
Untuk tiket masuk ke pantai 5.000","3 tahun lalu","Positif","pantai lombang"
"Menarik untuk dikunjungi, sejuk. Cocok untuk berlibur dg teman dan keluarga, mudah mencari makanan,  fasilitas cukup lengkap,  warung, jasa foto dan naik kuda","4 tahun lalu","Positif","pantai lombang"
"Tempat yg indah, teduh, fasilitas lengkap. Recommended","4 tahun lalu","Positif","pantai lombang"
"perjalanannya jauh  membosankan …","setahun lalu","Negatif","pantai lombang"
" banyak sampahnya","setahun lalu","Negatif","pantai lombang"
"Pantai y bagus.. pas lah buat berwisata bareng keluarga.. tapi sayang banyak roda dua yg lalu lalang di bibir pantai y..","4 tahun lalu","Positif","pantai lombang"
"Pantai yang sangat indah..  Pasir putih membentang panjang di pagar pohonw cemara..  Dan pantai yg alami,,  top..  Pantainya bersih...  Pokok nya cantik banget","3 tahun lalu","Positif","pantai lombang"
"Indah namanya elok tempatnya masih ada harapan untuk menginjakkan bersama keluarga kecil ku kelak😇 …","3 tahun lalu","Positif","pantai lombang"
"Pantai paling bagus se kota sumemep.. Banyak cemaraa... Apalagi warung rujak langganan mantap sama es degannya..","4 tahun lalu","Positif","pantai lombang"
"Ttp yg terbaik pasirnya...cm penataannya saja yg kurang...sayang sebenernya, potensi wisata yg terbengkalai walau sdh ada perbaikan dikit","4 tahun lalu","Negatif","pantai lombang"
" toiletnya kurang mendukung","4 tahun lalu","Negatif","pantai lombang"
"pemandanga sangat indah mempesona","2 tahun lalu","Positif","pantai lombang"
"Tempatnya bagus banget😍😍😍 …","3 tahun lalu","Positif","pantai lombang"
"Hamparan pasir putih yg sangat luas,,disertai dgn pohon cemara udang.,sangat indahh..cocok buat bersantai.","4 tahun lalu","Positif","pantai lombang"
" pengelolaannya yg blm maksimal.","3 tahun lalu","Negatif","pantai lombang"
"Sangat bagus sekali pantainya😊😍😍😍 …","2 tahun lalu","Positif","pantai lombang"
"Tempat yang aman dan nyaman untuk digunakan kemah satu pleton, airnya yang jernih, serta warga yang ramah","3 tahun lalu","Positif","pantai lombang"
"Tidak seberapa nyaman untuk menikmati udara, sepi penjual.","3 tahun lalu","Negatif","pantai lombang"
"Pantai yang enak buat kita berlibur bersama keluarga..hamparan pasirnya luas banget","3 tahun lalu","Positif","pantai lombang"
"Bagus tempat nyantai","4 tahun lalu","Positif","pantai lombang"
"Sudah 2x kepantai ini tapi ditutup tanpa pemberian informasi publik, saya jauh-jauh dari pamekasan. tolong buatkan website resmi supaya kita bisa mengetahui info-info terbarunya","3 tahun lalu","Negatif","pantai lombang"
"Pantai lombang merupakan pantai yang sangat indah dan memiliki bibir pantai yang panjang serta suasana alam yang enak.","3 tahun lalu","Positif","pantai lombang"
"Tempat wisata pantai yg sejuk serta rindang karena penuh dengan cemara.......","4 tahun lalu","Positif","pantai lombang"
"Pantai lombang buka apa gak?
Selama hari raya
Mohon infonya","2 tahun lalu","Netral","pantai lombang"
"Pemandangannya sangat bagus cocok untuk liburan bersama keluarga atau teman2","4 tahun lalu","Positif","pantai lombang"
"sayang sewa kudanya mahal sekali","4 tahun lalu","Negatif","pantai lombang"
"Jauh sih dari kota, tapi tempat ini bagus buat liat sunset. Pasirnya bagus dan cocok buat wisata keluarga","4 tahun lalu","Positif","pantai lombang"
"Pemandangan pantai ny sangat bagus n indah, banyak pohon cemara udang,, asri n bersih pantai ny,,,","4 tahun lalu","Positif","pantai lombang"
"Tepi pantai full cemara udang, adeem...
Pantai bersih dengan pasir berwarna coklat muda...","4 tahun lalu","Positif","pantai lombang"
"Kurang nyaman karena kebersihan kurang dijaga, banyak sampah² yang berserakan terutama sampah plastik 🙏🙏🙏 …","4 tahun lalu","Negatif","pantai lombang"
" toiletnya kotor dan masih susah air","4 tahun lalu","Negatif","pantai lombang"
"Fasilitas toilet dr pemerintah tersedia, namun tidak bisa digunakan.","4 tahun lalu","Negatif","pantai lombang"
"Luas dan sejuk sangat menyenangkan.","setahun lalu","Positif","pantai lombang"
"Percuma fotonya bagus² tapi kalo terlihat ada sampahnya jadi jelek.. 🤭 …","4 tahun lalu","Negatif","pantai lombang"
"pantainya itu asik dan refreshing ke tubuh tapi tolong di bersiin itu pinggir pantainya OK","3 tahun lalu","Positif","pantai lombang"
"Di kasih pengumuman dong kalau tutup udah jauh2 kecewa","2 tahun lalu","Negatif","pantai lombang"
"Banyak Peningkatan.. Hanya aroma tidak sedap dari kencing Kuda yg mengganggu ke asyikan","3 tahun lalu","Negatif","pantai lombang"
"Pantainya sanggat indah ... anginya... bikin sejuk banyak pohon cemaranyaa  .","3 tahun lalu","Positif","pantai lombang"
"Pantai Lombang begitu teduh dengan pohon cemara. Dijamin pasti betah berlama-lama di pantai ini.","3 tahun lalu","Positif","pantai lombang"
"Tempat bagus bersih ciri khasnya banyak pohon cemara","2 tahun lalu","Positif","pantai lombang"
"Pantainya bagus banget","4 tahun lalu","Positif","pantai lombang"
"Selalu ramai saat libur lebaran","setahun lalu","Positif","pantai lombang"
"Pantai dengan Pasir Putih yg Banyak Ditumbuhi Pohon Cemara Udang Disekelilingnya,, Oke..","4 tahun lalu","Positif","pantai lombang"
"Tempatnya Bagus","2 tahun lalu","Positif","pantai lombang"
"Tempat liburan yang nyaman dan bagus","setahun lalu","Positif","pantai lombang"
"Tempat wisatanya bagus untuk daerah kabupaten Sumenep....","3 tahun lalu","Positif","pantai lombang"
"Pantai yang selalu indah dan menjadi ikon wisata ujung timur pulau Madura","3 tahun lalu","Positif","pantai lombang"
"Pasir putih seperti dikuta bali hanya sayang kurang fasilitas. Bgs lombanng drpd kuta bali","3 tahun lalu","Positif","pantai lombang"
"jalan masuk menuju gerbang tiket belum diaspal","4 tahun lalu","Negatif","pantai lombang"
"Wihhh pantainya sangat indahh n bertebaran cemara udang ..persis d negri dongeng....","4 tahun lalu","Positif","pantai lombang"
" masih banyak sampah yg berserakan","4 tahun lalu","Negatif","pantai lombang"
"Bagus banget... dingin tempatnya....","2 tahun lalu","Positif","pantai lombang"
"bersih pantainya, kl weekdays sepi, mungkin ramenya kl weekend","4 tahun lalu","Positif","pantai lombang"
"Sangat direkomendasikan untuk dikunjungi","4 tahun lalu","Positif","pantai lombang"
"Tempatnya bagus, pemandangannya cantik banget","3 tahun lalu","Positif","pantai lombang"
"Keren banget pantainya 😍 …","2 tahun lalu","Positif","pantai lombang"
"Tempatnya asyik","4 tahun lalu","Positif","pantai lombang"
"Kebersihannya sekarang mulai menurun, kurang terawat juga.","3 tahun lalu","Negatif","pantai lombang"
"Pantai yg panjang,pasir lembut, cemara udang bikin teduh,ombak kecil","3 tahun lalu","Positif","pantai lombang"
"pantai supermantap, di tingkatkan lagi untuk wash and clean","3 tahun lalu","Positif","pantai lombang"
"Pantai lombang sangat menarik dan patut untuk di kunjungi","3 tahun lalu","Positif","pantai lombang"
"pulangnya magrip gelap sekali kurang penerangan mohon diperhatikan","3 tahun lalu","Negatif","pantai lombang"
"Tempatnya sangat bagus apalagi sore hari","3 tahun lalu","Positif","pantai lombang"
"Tempat sampah kurang memadahi untuk menjaga kebersihan","4 tahun lalu","Negatif","pantai lombang"
"Bagus. Indah. Khusus weekend banyak pedagangnya","4 tahun lalu","Positif","pantai lombang"
"Pantai sejuk dan nyaman","2 tahun lalu","Positif","pantai lombang"
"Pantai bagus, tempat untuk istirahat nyaman dan bersih","4 tahun lalu","Positif","pantai lombang"
"Pantai yg sejuk dengan hutan cemara udang","4 tahun lalu","Positif","pantai lombang"
"Karna pasirnya putih n terjaga keaslian pantainya","4 tahun lalu","Positif","pantai lombang"
"Pantai yang sangat indah dan mempesona..🖒🖒🖒 …","2 tahun lalu","Positif","pantai lombang"
"Pasir putihnya bagus dan masyarakat skitar ramah","3 tahun lalu","Positif","pantai lombang"
"Fasilitasnya sudah mulai banyak dan bagus","3 tahun lalu","Positif","pantai lombang"
"pengelolaan kurang cenderung tidak terawat","4 tahun lalu","Negatif","pantai lombang"
"tempat ini unik dan indah. penghilang kepenatan kota","3 tahun lalu","Positif","pantai lombang"
"Keren tempatnya...pantainya luas","4 tahun lalu","Positif","pantai lombang"
"Pantai Bagus dan Asri tidak kalah dengan Kuta Bali","4 tahun lalu","Positif","pantai lombang"
"Tempat yang sangat bagus dan indah di pandang","3 tahun lalu","Positif","pantai lombang"
"Laut yg masih bersih dan pasir yg indah","4 tahun lalu","Positif","pantai lombang"
"Bagus juga pasirnya lembut","3 tahun lalu","Positif","pantai lombang"
"PANTAI yg menyenangkan bagus dn indah","4 tahun lalu","Positif","pantai lombang"
"Wisata akan yg menenangkan","4 tahun lalu","Positif","pantai lombang"
"Pantai yg bersih dan bagus","3 tahun lalu","Positif","pantai lombang"
"Bagus banget pemandangannya","3 tahun lalu","Positif","pantai lombang"
"Cukup bagus pantainya","3 tahun lalu","Positif","pantai lombang"
"Dikelilingi dengan pohon cemara dan berjejer bonsai cemara","4 tahun lalu","Positif","pantai lombang"
"Gak ada permainannya","4 tahun lalu","Negatif","pantai lombang"
"Bagus & nyaman","3 tahun lalu","Positif","pantai lombang"
"Bagussss bersih","setahun lalu","Positif","pantai lombang"
"apakah masih ditutup atau sudah buka yah?","2 tahun lalu","Netral","pantai lombang"
"Bagus buat rekreasi","3 tahun lalu","Positif","pantai lombang"
"Tempatnya indah nan asri","2 tahun lalu","Positif","pantai lombang"
"Tempatnya kotor kurang bersih","3 tahun lalu","Negatif","pantai lombang"
"Sangat mempesona","setahun lalu","Positif","pantai lombang"
"Pantai cantik di Sumenep","setahun lalu","Positif","pantai lombang"
"Tempat nyaman","10 bulan lalu","Positif","pantai lombang"
"Pntai yg sangat indah di p.madura","3 tahun lalu","Positif","pantai lombang"
"Toiletny dong ditambahin","2 tahun lalu","Negatif","pantai lombang"
"Fasilitasnya tambah baik dari sebelumnya,,","3 tahun lalu","Positif","pantai lombang"
"SUPER MANTAP","3 tahun lalu","Positif","pantai lombang"
"Mntap sekali...","3 tahun lalu","Negatif","pantai lombang"
"Masih ditutup bro","3 tahun lalu","Netral","pantai lombang"
"Pengen kesana lagi kapan""","3 tahun lalu","Netral","pantai lombang"
"Tempat yg indah","3 tahun lalu","Positif","pantai lombang"
"Indah dan hijau","3 tahun lalu","Positif","pantai lombang"
"Indah pantainya","3 tahun lalu","Positif","pantai lombang"
"Keajaiban alam. Apinya biru dan merah. Suasana malam yg dingin jadi hangat kalau kita duduk sambil bakar jagung di dekat api tak kunjung padam ini.","4 tahun lalu","Negatif","pantai lombang"
"Untuk wisata kurang instragamable...lokasi yg panas","3 tahun lalu","Negatif","pantai lombang"
"Tapi waktu renang jadi butek soale isinya lumpur bawah'e.
Penginapannya puanas, dapetnya yg paling pojok. …","2 tahun lalu","Negatif","air terjun toroan"
"pengelolaannya belum maksimal mungkin dikarenakan masih berbasis mandiri","3 tahun lalu","Negatif","air terjun toroan"
"Tempat Air terjun nya tidak terawat masih banyak sampah berserakan.","3 tahun lalu","Negatif","air terjun toroan"
"jalan tak terawat. sarana foto pada venue hanya sebuah jembatan buatan kecil.","2 tahun lalu","Negatif","air terjun toroan"
"Ga keren.. masih butuh dibersihkan area utk nonton air terjunnya.. baik airnya maupun tumbuhan sekitarnya","3 tahun lalu","Negatif","air terjun toroan"
"biasa aja, kurang dirawat","4 tahun lalu","Negatif","air terjun toroan"
"sayang gak bisa dibuat renang dan kurang luas tempatnya","2 tahun lalu","Negatif","air terjun toroan"
"Wisatanya kurang dirawat. Tidak bersih.  Cenderung biasa saja.  Jika kesini disarankan pagi hari saja","3 tahun lalu","Negatif","air terjun toroan"
